age,attrition,business_travel,daily_rate,distance_from_home,education,education_field,employee_number,environment_satisfaction,gender,job_involvement,job_level,job_role,job_satisfaction,marital_status,monthly_income,monthly_rate,num_companies_worked,overtime,percent_salary_hike,performance_rating,relationship_satisfaction,standard_hours,stock_option_level,total_working_years,training_times_last_year,work_life_balance,years_at_company,years_since_last_promotion,years_with_curr_manager,salary,remote_work
36,No,Unknown,1032.4872861766066,8,3,Unknown,23,3,F,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,Unknown,13,3.0,2,Unknown,3,17.0,2,3.0,17,12,8,100071.84,Y
47,No,Unknown,1728.3809523809523,2,2,other,24,3,F,3,4, manager ,4,married,13960.0,36296.0,1,Unknown,11,3.0,3,Full Time,1,Unknown,3,2.0,26,3,0,167520.0,N
36,No,travel_rarely,639.7857142857143,42,2,life sciences,25,42,M,3,2, sales executive ,4,Unknown,5167.5,13435.5,1,Unknown,14,3.0,4,Full Time,1,18.0,1,Unknown,18,4,11,62010.0,Y
35,No,Unknown,1032.4872861766066,9,3,life sciences,26,4,F,2,3, manufacturing director ,3,married,8339.32,21682.23,1,yes,20,4.0,2,Part Time,1,17.0,2,3.0,17,5,15,100071.84,N
52,Yes,Unknown,2047.5,2,1,Unknown,27,1,F,1,5, manager ,4,married,16537.5,42997.5,1,no,15,3.0,4,Full Time,1,33.0,3,3.0,32,6,9,198450.0,Y
36,No,Unknown,556.2566609977324,2,4,life sciences,28,3,F,3,2, manufacturing director ,2,single,4492.84,11681.39,9,yes,11,3.0,4,Unknown,0,18.0,2,3.0,16,5,12,53914.11,N
33,No,travel_rarely,556.2566609977324,28,4,life sciences,29,2,M,3,2, laboratory technician ,3,married,4492.84,11681.39,1,Unknown,12,3.0,2,Part Time,1,15.0,3,3.0,15,5,7,53914.11,Y
34,No,non_travel,412.8015873015873,10,3,life sciences,30,4,M,3,2, sales executive ,3,Unknown,3334.17,8668.83,1,yes,14,3.0,3,Part Time,1,15.0,3,3.0,15,0,7,40010.0,Y
41,No,Unknown,1077.8650793650793,37,1,Unknown,31,37,F,3,3, sales executive ,3,divorced,8705.83,22635.17,0,Unknown,13,3.0,4,Full Time,1,Unknown,3,4.0,22,13,5,104470.0,Y
47,No,Unknown,1032.4872861766066,25,3,medical,32,1,M,3,3, healthcare representative ,3,Unknown,8339.32,21682.23,2,Unknown,23,4.0,2,Unknown,0,25.0,3,3.0,17,12,11,100071.84,Y
53,No,travel_rarely,1973.9841269841268,5,3,Unknown,33,3,F,3,5, manager ,3,Unknown,15943.72,41453.67,4,Unknown,11,3.0,4,Full Time,1,26.0,3,2.0,14,4,8,191324.62,Y
35,No,Unknown,556.2566609977324,1,4,marketing,34,3,M,2,2, sales executive ,1,single,4492.84,11681.39,0,no,14,3.0,2,Part Time,0,16.0,2,3.0,15,2,8,53914.11,N
34,No,travel_rarely,556.2566609977324,6,4,other,35,1,F,3,2, research scientist ,3,single,4492.84,11681.39,1,Unknown,14,3.0,3,Unknown,0,16.0,3,3.0,16,2,10,53914.08,Y
46,No,travel_rarely,1032.4872861766066,1,2,Unknown,36,2,F,3,3, sales executive ,1,divorced,8339.32,21682.23,1,no,25,4.0,3,Part Time,3,24.0,2,3.0,24,15,7,100071.84,Y
43,No,Unknown,1657.3968253968255,16,3,Unknown,37,4,F,3,4, manager ,4,married,13386.67,34805.33,5,Unknown,22,4.0,3,Full Time,1,22.0,3,3.0,17,1,9,160640.0,Y
36,No,Unknown,331.1904761904762,6,3,life sciences,38,4,M,3,1, laboratory technician ,4,married,2675.0,6955.0,0,Unknown,11,3.0,3,Full Time,1,16.0,4,3.0,15,10,11,32100.0,Y
60,No,travel_frequently,1059.1904761904764,28,3,Unknown,39,3,F,2,3, sales executive ,1,married,8555.0,22243.0,4,no,19,3.0,4,Full Time,0,22.0,5,4.0,18,13,11,102660.0,Y
40,No,travel_frequently,1080.7539682539684,5,4,Unknown,40,4,M,2,3, sales executive ,1,married,8729.17,22695.83,5,yes,21,4.0,3,Full Time,1,20.0,2,3.0,18,1,12,104750.0,N
32,No,travel_rarely,635.7619047619048,4,3,Unknown,41,3,F,2,2, manufacturing director ,3,married,5135.0,13351.0,1,no,12,3.0,3,Full Time,1,14.0,3,3.0,14,6,8,61620.0,N
41,No,travel_rarely,487.0873015873016,35,3,Unknown,42,35,M,3,1, laboratory technician ,1,single,3934.17,10228.83,2,yes,13,3.0,3,Full Time,0,20.0,3,3.0,18,2,17,47210.0,Y
53,No,Unknown,1582.7713464696226,2,2,medical,43,3,M,3,4, manager ,3,divorced,12783.92,33238.2,6,no,13,3.0,3,Full Time,1,22.0,3,4.0,17,15,2,153407.07,N
36,Yes,travel_rarely,290.03550973654063,16,4,Unknown,44,3,F,4,1, laboratory technician ,1,single,2342.59,6090.75,1,Unknown,16,3.0,3,Part Time,0,18.0,1,3.0,17,15,14,28111.13,Y
46,No,Unknown,476.1507936507937,8,4,life sciences,45,4,F,2,2, research scientist ,1,divorced,3845.83,9999.17,8,yes,23,4.0,1,Part Time,3,Unknown,2,3.0,16,1,7,46150.0,N
38,No,travel_rarely,556.2566609977324,1,4,Unknown,46,4,M,3,2, sales executive ,2,married,4492.84,11681.39,0,no,15,3.0,1,Unknown,2,16.0,3,Unknown,15,5,8,53914.11,Y
51,No,Unknown,1032.4872861766066,1,4,Unknown,47,1,F,2,3, healthcare representative ,1,single,8339.32,21682.23,3,Unknown,20,4.0,3,Part Time,0,23.0,1,2.0,13,12,8,100071.84,Y
43,No,Unknown,1749.7380952380954,26,2,Unknown,48,3,M,3,4, manager ,4,married,14132.5,36744.5,1,yes,12,3.0,4,Full Time,2,25.0,3,4.0,25,4,12,169590.0,Y
37,No,Unknown,290.03550973654063,1,3,life sciences,49,4,F,3,1, research scientist ,4,single,2342.59,6090.75,1,no,12,3.0,2,Part Time,0,Unknown,3,3.0,17,5,7,28111.13,Y
32,No,travel_rarely,556.2566609977324,8,2,technical degree,50,3,F,2,2, sales executive ,2,married,4492.84,11681.39,1,yes,11,3.0,4,Part Time,0,Unknown,2,3.0,13,11,9,53914.11,Y
38,No,Unknown,1032.4872861766066,1,3,Unknown,51,4,F,3,3, research director ,1,married,8339.32,21682.23,1,Unknown,13,3.0,2,Part Time,1,15.0,3,3.0,15,5,11,100071.84,N
46,No,Unknown,1582.7713464696226,3,3,life sciences,52,3,F,3,4, manager ,2,Unknown,12783.92,33238.2,8,no,12,3.0,4,Full Time,1,23.0,2,4.0,13,5,1,153407.07,Y
35,Yes,travel_rarely,1063.3174603174605,10,3,medical,53,4,M,2,3, sales executive ,1,married,8588.33,22329.67,9,Unknown,17,3.0,3,Unknown,0,15.0,3,Unknown,13,6,0,103059.96,N
43,No,Unknown,1973.9841269841268,6,3,medical,54,1,F,2,5, manager ,3,married,15943.72,41453.67,7,no,13,3.0,4,Unknown,0,21.0,2,3.0,16,6,14,191324.64,Y
56,No,non_travel,556.2566609977324,1,4,life sciences,55,3,M,3,2, healthcare representative ,3,divorced,4492.84,11681.39,1,no,21,3.0,1,Unknown,1,Unknown,2,2.0,13,1,9,53914.08,Y
36,No,non_travel,557.7619047619048,15,4,marketing,56,4,M,1,2, sales executive ,4,divorced,4505.0,11713.0,1,no,24,4.0,1,Full Time,1,Unknown,4,2.0,15,11,11,54060.0,Y
38,No,Unknown,556.2566609977324,6,3,medical,57,2,F,1,2, research scientist ,4,Unknown,4492.84,11681.39,7,Unknown,12,3.0,4,Part Time,3,17.0,3,3.0,13,1,9,53914.11,Y
49,No,Unknown,556.2566609977324,26,4,medical,58,3,F,3,2, manufacturing director ,1,Unknown,4492.84,11681.39,1,no,14,3.0,3,Part Time,0,16.0,2,2.0,15,5,11,53914.11,N
39,No,travel_rarely,608.936507936508,4,4,life sciences,59,4,F,2,2, sales executive ,3,married,4918.33,12787.67,4,Unknown,14,3.0,3,Full Time,1,17.0,1,4.0,15,5,9,59020.0,Y
40,No,Unknown,1119.9603174603176,4,4,Unknown,60,3,M,2,3, sales executive ,4,married,9045.83,23519.17,7,no,11,3.0,1,Full Time,1,15.0,2,2.0,12,2,11,108550.0,Y
36,No,Unknown,610.1746031746031,5,2,Unknown,61,4,M,3,2, laboratory technician ,2,single,4928.33,12813.67,8,no,16,3.0,4,Full Time,0,16.0,3,4.0,13,3,7,59140.0,Y
37,No,Unknown,556.2566609977324,25,5,Unknown,62,2,F,3,2, research scientist ,3,married,4492.84,11681.39,3,yes,15,3.0,1,Unknown,2,15.0,2,3.0,13,10,7,53914.11,N
35,No,Unknown,685.6984126984128,6,4,Unknown,63,2,M,1,2, research scientist ,4,Unknown,5538.33,14399.67,1,Unknown,13,3.0,2,Full Time,0,Unknown,3,3.0,17,11,8,66460.0,Y
33,No,travel_frequently,556.2566609977324,6,3,life sciences,64,3,M,3,2, healthcare representative ,4,divorced,4492.84,11681.39,3,no,23,4.0,3,Part Time,1,15.0,2,1.0,13,4,7,53914.11,N
50,No,travel_rarely,1441.65873015873,24,3,Unknown,65,4,M,3,4, manufacturing director ,3,married,11644.17,30274.83,3,yes,18,3.0,4,Full Time,1,22.0,2,3.0,12,1,5,139730.0,N
48,No,travel_rarely,1032.4872861766066,4,4,Unknown,66,3,M,2,3, healthcare representative ,3,single,8339.32,21682.23,7,Unknown,14,3.0,2,Part Time,0,27.0,3,3.0,15,4,8,100071.84,Y
44,No,travel_rarely,1374.2857142857142,28,3,Unknown,67,4,F,4,4, sales executive ,4,married,11100.0,28860.0,3,Unknown,18,3.0,3,Unknown,1,Unknown,2,3.0,12,11,11,133200.0,Y
44,No,travel_rarely,556.2566609977324,29,4,Unknown,68,4,M,3,2, research scientist ,4,single,4492.84,11681.39,1,Unknown,25,4.0,2,Part Time,0,Unknown,3,3.0,20,13,17,53914.11,Y
40,No,Unknown,556.2566609977324,25,1,Unknown,69,25,F,4,2, healthcare representative ,3,Unknown,4492.84,11681.39,5,no,20,4.0,2,Part Time,3,15.0,0,3.0,12,11,8,53914.11,Y
34,No,travel_rarely,689.9285714285714,2,4,Unknown,70,3,F,3,2, healthcare representative ,4,single,5572.5,14488.5,1,Unknown,11,3.0,4,Full Time,0,14.0,2,4.0,14,4,11,66870.0,Y
35,No,non_travel,556.2566609977324,8,4,Unknown,71,3,F,3,2, healthcare representative ,3,Unknown,4492.84,11681.39,1,Unknown,12,3.0,4,Part Time,1,Unknown,5,3.0,14,2,9,53914.11,Y
50,No,Unknown,1032.4872861766066,17,5,life sciences,72,4,F,2,3, research director ,1,Unknown,8339.32,21682.23,5,no,15,3.0,3,Part Time,3,Unknown,3,3.0,14,1,11,100071.84,N
49,No,Unknown,1582.7713464696226,6,1,life sciences,73,3,F,2,4, healthcare representative ,3,Unknown,12783.92,33238.2,2,Unknown,19,3.0,2,Full Time,1,Unknown,3,3.0,15,2,12,153407.07,Y
38,No,travel_frequently,488.531746031746,1,3,life sciences,74,4,M,3,2, research scientist ,4,Unknown,3945.83,10259.17,7,no,15,3.0,4,Part Time,2,19.0,4,Unknown,13,2,9,47350.0,Y
33,No,Unknown,290.03550973654063,21,3,Unknown,75,2,M,4,1, laboratory technician ,2,Unknown,2342.59,6090.75,1,no,18,3.0,4,Part Time,3,14.0,6,Unknown,14,2,13,28111.13,Y
47,No,travel_rarely,1032.4872861766066,4,3,life sciences,76,3,F,2,3, manufacturing director ,2,divorced,8339.32,21682.23,8,yes,12,3.0,3,Part Time,1,Unknown,4,3.0,22,14,10,100071.84,Y
38,No,Unknown,556.2566609977324,8,3,Unknown,77,4,F,2,2, research scientist ,2,divorced,4492.84,11681.39,1,Unknown,16,3.0,3,Unknown,1,20.0,3,3.0,20,0,7,53914.08,N
37,No,travel_rarely,1032.4872861766066,10,3,life sciences,78,3,F,4,3, research director ,4,Unknown,8339.32,21682.23,1,yes,25,4.0,1,Part Time,1,16.0,2,3.0,16,6,8,100071.84,Y
30,No,Unknown,556.2566609977324,2,3,Unknown,79,3,M,2,2, healthcare representative ,4,married,4492.84,11681.39,1,no,19,3.0,1,Part Time,3,11.0,3,3.0,11,10,8,53914.11,Y
58,No,travel_rarely,1431.2380952380954,18,4,Unknown,80,4,M,3,4, sales executive ,3,single,11560.0,30056.0,0,Unknown,13,3.0,3,Full Time,0,38.0,1,2.0,37,1,8,138720.0,Y
34,No,travel_rarely,1032.4872861766066,5,3,Unknown,81,3,F,2,3, manager ,1,single,8339.32,21682.23,2,Unknown,12,3.0,4,Unknown,0,14.0,6,3.0,11,5,8,100071.84,N
58,Yes,travel_rarely,1032.4872861766066,23,4,medical,82,4,F,3,3, healthcare representative ,4,married,8339.32,21682.23,1,Unknown,12,3.0,4,Part Time,1,40.0,3,2.0,40,15,6,100071.84,Y
38,No,Unknown,1032.4872861766066,3,3,life sciences,83,1,M,3,3, sales executive ,3,divorced,8339.32,21682.23,0,Unknown,12,3.0,3,Unknown,2,Unknown,6,2.0,16,5,13,100071.84,Y
29,No,travel_frequently,1032.4872861766066,1,1,Unknown,84,2,F,3,3, sales executive ,4,married,8339.32,21682.23,1,Unknown,14,3.0,4,Part Time,1,11.0,5,3.0,11,4,1,100071.84,Y
55,No,travel_rarely,1964.9603174603176,1,3,medical,85,4,M,3,5, manager ,1,single,15870.83,41264.17,0,Unknown,14,3.0,3,Full Time,0,37.0,2,3.0,36,4,13,190450.0,Y
41,No,Unknown,1652.34126984127,10,4,Unknown,86,4,M,3,4, manager ,2,Unknown,13345.83,34699.17,1,Unknown,19,3.0,2,Unknown,0,Unknown,2,3.0,22,0,4,160149.96,Y
39,No,travel_rarely,991.8174603174604,1,3,Unknown,87,3,M,4,3, healthcare representative ,4,Unknown,8010.83,20828.17,0,no,17,3.0,1,Part Time,3,19.0,5,2.0,18,3,7,96130.0,N
38,No,Unknown,1187.5396825396826,15,2,life sciences,88,3,M,2,3, research director ,4,Unknown,9591.67,24938.33,0,Unknown,14,3.0,2,Full Time,1,Unknown,3,3.0,11,2,9,115100.0,Y
43,No,Unknown,1582.7713464696226,12,3,Unknown,89,1,M,2,4, research director ,2,Unknown,12783.92,33238.2,1,no,11,3.0,3,Full Time,1,Unknown,3,Unknown,25,3,9,153407.07,Y
31,No,Unknown,444.26984126984127,30,2,Unknown,90,2,F,3,2, manufacturing director ,1,married,3588.33,9329.67,1,no,12,3.0,2,Unknown,1,13.0,5,1.0,13,3,12,43059.96,Y
50,No,travel_rarely,1758.7142857142858,27,4,life sciences,91,27,M,2,4, manager ,3,married,14205.0,36933.0,0,no,15,3.0,2,Full Time,1,28.0,2,3.0,27,15,7,170460.0,Y
35,No,Unknown,1032.4872861766066,25,3,technical degree,92,4,M,2,3, manufacturing director ,2,married,8339.32,21682.23,3,no,16,3.0,1,Part Time,0,Unknown,2,3.0,13,4,8,100071.84,N
47,No,Unknown,522.7857142857143,16,4,Unknown,93,3,M,4,2, manufacturing director ,3,Unknown,4222.5,10978.5,1,yes,19,3.0,3,Unknown,0,20.0,3,Unknown,19,2,7,50670.0,Y
35,No,Unknown,1032.4872861766066,25,4,Unknown,94,3,F,3,3, healthcare representative ,3,divorced,8339.32,21682.23,1,yes,11,3.0,3,Part Time,1,Unknown,3,2.0,16,10,1,100071.84,Y
40,No,travel_rarely,1032.4872861766066,20,4,Unknown,95,1,M,3,3, healthcare representative ,4,married,8339.32,21682.23,4,Unknown,20,4.0,4,Part Time,1,14.0,6,3.0,11,11,1,100071.84,Y
45,No,Unknown,556.2566609977324,9,4,life sciences,96,2,F,2,2, sales executive ,3,married,4492.84,11681.39,1,Unknown,13,3.0,4,Part Time,1,15.0,2,3.0,15,4,12,53914.11,N
33,No,Unknown,290.03550973654063,9,3,medical,97,1,M,3,1, research scientist ,4,married,2342.59,6090.75,0,Unknown,13,3.0,2,Unknown,1,15.0,5,3.0,14,4,10,28111.13,N
36,No,travel_frequently,380.9206349206349,3,3,Unknown,98,3,M,3,1, research scientist ,2,married,3076.67,7999.33,1,no,12,3.0,3,Full Time,0,12.0,2,2.0,11,0,7,36920.0,N
45,Yes,Unknown,1973.9841269841268,13,3,marketing,99,1,F,1,5, manager ,2,Unknown,15943.72,41453.67,2,yes,16,3.0,1,Full Time,0,26.0,2,3.0,24,1,11,191324.62,Y
51,No,travel_frequently,2047.7063492063487,27,3,Unknown,100,27,M,3,5, manager ,2,Unknown,16539.17,43001.83,4,yes,24,3.0,1,Full Time,1,Unknown,5,2.0,29,11,10,198470.0,N
34,No,travel_rarely,238.12698412698413,7,2,technical degree,101,2,M,3,1, sales representative ,3,Unknown,1923.33,5000.67,0,yes,25,4.0,2,Part Time,1,12.0,4,3.0,11,5,7,23080.0,N
43,No,travel_rarely,1582.7713464696226,15,2,Unknown,102,3,M,2,4, research director ,3,Unknown,12783.92,33238.2,1,no,24,4.0,1,Full Time,1,Unknown,3,3.0,14,6,11,153407.07,Y
34,No,Unknown,556.2566609977324,5,2,medical,103,2,M,2,2, laboratory technician ,4,Unknown,4492.84,11681.39,1,no,14,3.0,3,Part Time,1,Unknown,3,Unknown,15,4,13,53914.11,N
38,No,Unknown,290.03550973654063,2,3,Unknown,104,1,M,3,1, human resources ,2,divorced,2342.59,6090.75,5,no,13,3.0,4,Part Time,3,13.0,3,3.0,11,3,8,28111.13,Y
48,No,Unknown,1973.9841269841268,10,3,Unknown,105,4,M,2,5, research director ,2,Unknown,15943.72,41453.67,4,no,12,3.0,4,Full Time,0,29.0,3,3.0,22,12,9,191324.62,N
34,No,Unknown,592.9444444444445,22,4,other,106,3,M,2,2, research scientist ,4,married,4789.17,12451.83,1,yes,15,3.0,2,Full Time,0,16.0,3,3.0,15,6,11,57470.0,N
32,No,travel_rarely,1075.2857142857142,31,4,Unknown,107,31,F,3,3, sales executive ,4,Unknown,8685.0,22581.0,1,no,19,3.0,3,Full Time,2,14.0,3,3.0,14,5,7,104220.0,Y
29,No,travel_rarely,1032.4872861766066,21,4,life sciences,108,2,F,4,3, manufacturing director ,1,divorced,8339.32,21682.23,1,no,11,3.0,3,Unknown,1,10.0,1,3.0,10,8,8,100071.84,N
46,No,Unknown,1032.4872861766066,1,3,medical,109,3,M,2,3, healthcare representative ,1,married,8339.32,21682.23,2,yes,13,3.0,3,Unknown,1,21.0,5,2.0,10,9,5,100071.84,N
30,No,Unknown,654.8492063492064,9,3,Unknown,110,3,M,3,2, human resources ,4,married,5289.17,13751.83,0,yes,19,3.0,4,Full Time,0,Unknown,2,1.0,11,4,7,63470.0,N
45,No,Unknown,242.25396825396828,9,3,life sciences,111,2,M,3,2, laboratory technician ,2,Unknown,1956.67,5087.33,8,no,18,3.0,3,Part Time,1,20.0,2,Unknown,17,0,15,23480.0,Y
30,No,travel_rarely,1032.4872861766066,5,3,Unknown,112,2,F,3,3, sales executive ,4,Unknown,8339.32,21682.23,2,no,12,3.0,3,Part Time,1,Unknown,2,3.0,10,7,4,100071.84,Y
30,No,Unknown,316.95238095238096,9,3,Unknown,113,3,M,3,2, laboratory technician ,1,Unknown,2560.0,6656.0,1,no,11,3.0,3,Part Time,2,12.0,4,3.0,12,6,10,30720.0,Y
34,No,travel_frequently,556.2566609977324,29,1,Unknown,114,4,M,2,2, manufacturing director ,3,married,4492.84,11681.39,1,Unknown,17,3.0,3,Unknown,0,10.0,2,2.0,10,1,9,53914.08,N
51,No,travel_rarely,1288.6507936507935,8,4,life sciences,115,2,M,2,3, research director ,2,married,10408.33,27061.67,5,no,16,3.0,4,Full Time,2,16.0,5,1.0,10,4,7,124900.0,N
34,No,Unknown,556.2566609977324,39,4,life sciences,116,39,M,2,2, manufacturing director ,1,Unknown,4492.84,11681.39,6,Unknown,13,3.0,2,Part Time,1,13.0,3,3.0,11,5,9,53914.11,Y
35,No,travel_rarely,827.4603174603175,16,3,Unknown,117,3,M,3,3, sales executive ,2,married,6683.33,17376.67,0,Unknown,15,3.0,3,Part Time,2,12.0,3,2.0,11,6,9,80200.0,Y
45,No,travel_frequently,1032.4872861766066,7,3,life sciences,118,1,M,3,3, laboratory technician ,1,Unknown,8339.32,21682.23,1,Unknown,18,3.0,1,Part Time,1,24.0,2,3.0,24,9,11,100071.84,Y
39,No,Unknown,1760.9841269841272,10,1,Unknown,119,3,M,3,4, manager ,1,married,14223.33,36980.67,1,Unknown,14,3.0,4,Full Time,0,21.0,3,3.0,21,11,10,170680.0,Y
31,No,Unknown,922.6904761904764,7,2,Unknown,120,3,F,2,3, manufacturing director ,3,married,7452.5,19376.5,1,no,24,4.0,1,Part Time,1,10.0,2,3.0,10,8,9,89430.0,N
39,No,Unknown,1988.3809523809523,7,2,Unknown,121,3,M,2,5, manager ,4,married,16060.0,41756.0,1,Unknown,15,3.0,1,Full Time,1,Unknown,2,3.0,21,13,3,192720.0,Y
45,No,travel_rarely,556.2566609977324,8,4,Unknown,122,4,M,3,2, research scientist ,4,Unknown,4492.84,11681.39,9,no,14,3.0,1,Part Time,2,12.0,3,3.0,10,9,8,53914.11,Y
30,No,travel_rarely,556.2566609977324,5,3,marketing,123,4,F,2,2, sales executive ,3,Unknown,4492.84,11681.39,1,Unknown,13,3.0,3,Unknown,3,10.0,2,3.0,10,1,2,53914.08,Y
31,No,Unknown,1032.4872861766066,7,4,medical,124,3,F,3,3, manufacturing director ,4,Unknown,8339.32,21682.23,1,Unknown,14,3.0,3,Part Time,0,11.0,2,2.0,11,4,10,100071.84,N
36,No,Unknown,1032.4872861766066,3,4,medical,125,1,M,2,3, sales executive ,4,married,8339.32,21682.23,4,no,11,3.0,1,Part Time,1,16.0,2,3.0,13,1,12,100071.84,Y
36,No,travel_rarely,1032.4872861766066,2,2,Unknown,126,2,M,2,3, sales executive ,3,married,8339.32,21682.23,1,Unknown,13,3.0,2,Part Time,2,10.0,2,3.0,10,9,0,100071.84,Y
55,No,travel_rarely,1582.7713464696226,18,5,Unknown,127,1,F,3,4, manager ,2,single,12783.92,33238.2,3,no,23,4.0,4,Full Time,0,37.0,2,3.0,10,7,7,153407.07,Y
35,No,Unknown,556.2566609977324,1,3,Unknown,128,2,M,3,2, sales executive ,3,Unknown,4492.84,11681.39,9,Unknown,11,3.0,3,Part Time,0,15.0,2,3.0,11,6,9,53914.11,Y
42,No,travel_rarely,1032.4872861766066,24,3,medical,129,4,M,3,3, manufacturing director ,1,married,8339.32,21682.23,1,Unknown,21,4.0,4,Part Time,1,10.0,5,2.0,10,5,8,100071.84,N
52,No,travel_rarely,575.4047619047619,6,2,Unknown,130,4,M,3,2, research scientist ,1,divorced,4647.5,12083.5,3,yes,12,3.0,2,Full Time,2,18.0,3,3.0,10,6,9,55770.0,Y
49,No,Unknown,1973.9841269841268,18,4,life sciences,131,4,M,2,5, research director ,3,Unknown,15943.72,41453.67,1,yes,17,3.0,3,Full Time,1,Unknown,5,3.0,31,0,9,191324.62,Y
34,No,travel_rarely,277.6428571428572,1,5,Unknown,132,2,M,3,1, research scientist ,4,married,2242.5,5830.5,1,no,12,3.0,4,Part Time,1,Unknown,4,2.0,10,8,8,26910.0,Y
